Location,EICV5 Youth Population,EICV5 Non-Youth Population,Total,EICV5 Total Population (000s),EICV7 Youth Population,EICV7 Non-Youth Population,Total,EICV7 Total Population (000s)
,,,,,,,,
Province,EICV5,,,,EICV7,,,
,Youth Population,Non-Youth Population,Total,Total Population (000s),Youth Population,Non-Youth Population,Total,Total Population (000s)
City of Kigali,36.5,63.5,100,1631,33.3,66.7,100,1860
Southern ,24.3,75.7,100,2739,24.8,75.2,100,3030
Western,25.1,74.9,100,2685,26.1,73.9,100,2906
Northern,26.8,73.2,100,1841,26.2,73.8,100,2099
Eastern,24.6,75.4,100,2998,26.3,73.7,100,3654
All Rwanda (000s),26.6,73.4,100,11893,26.9,73.1,100,13549
