Location,Place,EICV 5,EICV 7
,,,
,,EICV 5,EICV 7
All Rwanda ,,13.1,18.2
Urban/rural ,Urban,28.5,32.0799933227894
,Rural,8,11.25249042461096
Province ,City of Kigali,26.9,36.13449141699177
,Southern,10.2,13.41036271787487
,Western,9.9,16.86439702183082
,Northern,11,12.90362067463002
,Eastern,8.7,14.29143668004463
 Sex,Male,14.8,19.91325227597692
,Female,11.5,16.55555773579039
 Age groups,16-20,8. 2,13.372481287146
,21–25,16.6,22.40781992088366
,26–30,15.6,20.96013236386987
 Quintile,Q1,2,5.254504952662107
,Q2,3.6,7.359884436580872
,Q3,5.5,12.17465375815346
,Q4,10.5,19.33466183200128
,Q5,30.9,39.76514880995257
