Age group,Hours,EICV5 Male,EICV5 Female,EICV5 Total,EICV7 Male,EICV7 Female,EICV7 Total
,,,,,,,
Age group ,Hours ,,,,,,
,,,,,,,
16-20 ,Mean ,31.8,31.8,31.8,34.71344796711902,32.22982880822951,33.52097732303996
,Median ,27.0,25.0,26.0,32.0,30.0,30.0
21-25 ,Mean ,39.8,30.8,34.9,41.26368947535531,34.20584652037439,37.68176667123145
,Median ,36.0,25.0,30.0,40.0,30.0,36.0
26-30 ,Mean ,41.4,31.9,36.6,43.7086175878607,34.74612983328752,39.18390515315459
,Median ,38.0,29.0,32.0,40.0,32.0,36.0
All 16-30 ,Mean ,38.7,31.5,35.0,39.89678520798224,33.77860245915722,36.85074197140436
,Median ,35.0,27.0,30.0,38.0,30.0,35.0
