EICV7 Occupation group of main usual job (ISCO 1 dig),Rwanda,Urban,Rural,Male,Female
,,,,,
EICV7,Rwanda ,Area of residence,,,
Occupation group of main usual job (ISCO 1 digit) ,,Urban ,Rural ,,
Managers ,0.6,1.4,0.2,0.6,0.5
Professionals ,2.9,5.5,1.9,2.7,3.1
Technical and associate professionals ,1.2,3,0.4,1.7,0.6
Clerical support workers ,1.1,3.1,0.3,1.2,1.1
Services and sales workers ,12.3,21.3,8.5,10.3,14.2
"Skilled agricultural, forestry, and fishery workers ",38.2,9.8,50.1,31.1,45.2
Craft and related trades workers ,5.5,9.9,3.7,7.7,3.4
"Plant and machine operators, and assemblers ",2.1,3.8,1.4,4.1,0.2
Elementary occupations ,36.1,42.2,33.5,40.6,31.6
Total ,100,100,100,100.0,100.0
Total workers (000s) ,2459,726,1733,1220.0,1239.0
